Round,Pick,Value,Tm,Year
1,1,3000,Jacksonville Jaguars,2022
1,2,2600,Detroit Lions,2022
1,3,2200,Houston Texans,2022
1,4,1800,New York Jets,2022
1,5,1700,New York Giants,2022
1,6,1600,Carolina Panthers,2022
1,7,1500,New York Giants,2022
1,8,1400,Atlanta Falcons,2022
1,9,1350,Denver Broncos,2022
1,10,1300,New York Jets,2022
1,11,1250,Washington Commanders,2022
1,12,1200,Minnesota Vikings,2022
1,13,1150,Cleveland Browns,2022
1,14,1100,Baltimore Ravens,2022
1,15,1050,Philadelphia Eagles,2022
1,16,1000,Philadelphia Eagles,2022
1,17,950,Los Angeles Chargers,2022
1,18,900,New Orleans Saints,2022
1,19,875,Philadelphia Eagles,2022
1,20,850,Pittsburgh Steelers,2022
1,21,800,New England Patriots,2022
1,22,780,Las Vegas Raiders,2022
1,23,760,Arizona Cardinals,2022
1,24,740,Dallas Cowboys,2022
1,25,720,Buffalo Bills,2022
1,26,700,Tennessee Titans,2022
1,27,680,Tampa Bay Buccaneers,2022
1,28,660,Green Bay Packers,2022
1,29,640,Miami Dolphins,2022
1,30,620,Kansas City Chiefs,2022
1,31,600,Cincinnati Bengals,2022
1,32,590,Detroit Lions,2022
2,33,580,Jacksonville Jaguars,2022
2,34,560,Detroit Lions,2022
2,35,550,New York Jets,2022
2,36,540,New York Giants,2022
2,37,530,Houston Texans,2022
2,38,520,New York Jets,2022
2,39,510,Chicago Bears,2022
2,40,500,Denver Broncos,2022
2,41,490,Seattle Seahawks,2022
2,42,480,Washington Commanders,2022
2,43,470,Atlanta Falcons,2022
2,44,460,Cleveland Browns,2022
2,45,450,Baltimore Ravens,2022
2,46,440,Minnesota Vikings,2022
2,47,430,Indianapolis Colts,2022
2,48,420,Los Angeles Chargers,2022
2,49,410,New Orleans Saints,2022
2,50,400,Miami Dolphins,2022
2,51,390,Philadelphia Eagles,2022
2,52,380,Pittsburgh Steelers,2022
2,53,370,Las Vegas Raiders,2022
2,54,360,New England Patriots,2022
2,55,350,Arizona Cardinals,2022
2,56,340,Dallas Cowboys,2022
2,57,330,Buffalo Bills,2022
2,58,320,Atlanta Falcons,2022
2,59,310,Green Bay Packers,2022
2,60,300,Tampa Bay Buccaneers,2022
2,61,292,San Francisco 49ers,2022
2,62,284,Kansas City Chiefs,2022
2,63,276,Cincinnati Bengals,2022
2,64,270,Denver Broncos,2022
3,65,265,Jacksonville Jaguars,2022
3,66,260,Detroit Lions,2022
3,67,255,New York Giants,2022
3,68,250,Houston Texans,2022
3,69,245,New York Jets,2022
3,70,240,Jacksonville Jaguars,2022
3,71,235,Chicago Bears,2022
3,72,230,Seattle Seahawks,2022
3,73,225,Washington Commanders,2022
3,74,220,Atlanta Falcons,2022
3,75,215,Denver Broncos,2022
3,76,210,Baltimore Ravens,2022
3,77,205,Minnesota Vikings,2022
3,78,200,Cleveland Browns,2022
3,79,195,Los Angeles Chargers,2022
3,80,190,New Orleans Saints,2022
3,81,185,Miami Dolphins,2022
3,82,180,Indianapolis Colts,2022
3,83,175,Philadelphia Eagles,2022
3,84,170,Pittsburgh Steelers,2022
3,85,165,New England Patriots,2022
3,86,160,Las Vegas Raiders,2022
3,87,155,Arizona Cardinals,2022
3,88,150,Dallas Cowboys,2022
3,89,145,Buffalo Bills,2022
3,90,140,Tennessee Titans,2022
3,91,136,Tampa Bay Buccaneers,2022
3,92,132,Green Bay Packers,2022
3,93,128,San Francisco 49ers,2022
3,94,124,Kansas City Chiefs,2022
3,95,120,Cincinnati Bengals,2022
4,96,116,Denver Broncos,2022
4,97,112,Detroit Lions,2022
4,98,108,New Orleans Saints,2022
4,99,104,Cleveland Browns,2022
4,100,100,Baltimore Ravens,2022
4,101,96,New Orleans Saints,2022
4,102,92,Kansas City Chiefs,2022
4,103,88,Miami Dolphins,2022
4,104,86,San Francisco 49ers,2022
4,105,84,Los Angeles Rams,2022
4,106,82,Jacksonville Jaguars,2022
4,107,80,Cleveland Browns,2022
4,108,78,Houston Texans,2022
4,109,76,Seattle Seahawks,2022
4,110,74,New York Giants,2022
4,111,72,New York Jets,2022
4,112,70,New York Giants,2022
4,113,68,Washington Commanders,2022
4,114,66,Atlanta Falcons,2022
4,115,64,Denver Broncos,2022
4,116,62,Seattle Seahawks,2022
4,117,60,New York Jets,2022
4,118,58,Cleveland Browns,2022
4,119,56,Baltimore Ravens,2022
4,120,54,New Orleans Saints,2022
4,121,52,Miami Dolphins,2022
4,122,50,Indianapolis Colts,2022
4,123,49,Los Angeles Chargers,2022
4,124,48,Philadelphia Eagles,2022
4,125,47,Miami Dolphins,2022
4,126,46,Las Vegas Raiders,2022
4,127,45,New England Patriots,2022
5,128,44,Baltimore Ravens,2022
5,129,43,Dallas Cowboys,2022
5,130,42,Buffalo Bills,2022
5,131,41,Tennessee Titans,2022
5,132,40,Green Bay Packers,2022
5,133,40,Tampa Bay Buccaneers,2022
5,134,39,San Francisco 49ers,2022
5,135,39,Kansas City Chiefs,2022
5,136,38,Cincinnati Bengals,2022
5,137,38,Houston Texans,2022
5,138,37,Pittsburgh Steelers,2022
5,139,37,Baltimore Ravens,2022
5,140,36,Green Bay Packers,2022
5,141,36,Baltimore Ravens,2022
5,142,35,Los Angeles Rams,2022
5,143,35,Tennessee Titans,2022
5,144,34,Carolina Panthers,2022
5,145,34,Denver Broncos,2022
5,146,33,New York Jets,2022
5,147,33,New York Giants,2022
5,148,32,Chicago Bears,2022
5,149,32,Carolina Panthers,2022
5,150,31,Chicago Bears,2022
5,151,31,Atlanta Falcons,2022
5,152,31,Denver Broncos,2022
5,153,30,Seattle Seahawks,2022
5,154,30,Philadelphia Eagles,2022
5,155,29,Cleveland Browns,2022
5,156,29,Baltimore Ravens,2022
5,157,29,Jacksonville Jaguars,2022
5,158,28,Miami Dolphins,2022
5,159,28,Indianapolis Colts,2022
5,160,27,Los Angeles Chargers,2022
6,161,27,New Orleans Saints,2022
6,162,27,Philadelphia Eagles,2022
6,163,26,New York Jets,2022
6,164,26,Las Vegas Raiders,2022
6,165,25,Las Vegas Raiders,2022
6,166,25,Arizona Cardinals,2022
6,167,25,Dallas Cowboys,2022
6,168,24,Buffalo Bills,2022
6,169,24,Tennessee Titans,2022
6,170,23,Tampa Bay Buccaneers,2022
6,171,23,Green Bay Packers,2022
6,172,23,San Francisco 49ers,2022
6,173,22,Carolina Panthers,2022
6,174,22,Cincinnati Bengals,2022
6,175,21,Los Angeles Rams,2022
6,176,21,Dallas Cowboys,2022
6,177,21,Detroit Lions,2022
6,178,20,Dallas Cowboys,2022
6,179,20,Indianapolis Colts,2022
6,180,19,Jacksonville Jaguars,2022
6,181,19,Detroit Lions,2022
6,182,19,New York Giants,2022
6,183,18,Houston Texans,2022
6,184,18,Minnesota Vikings,2022
6,185,17,Buffalo Bills,2022
6,186,17,Chicago Bears,2022
6,187,17,San Francisco 49ers,2022
6,188,16,Jacksonville Jaguars,2022
6,189,16,Washington Commanders,2022
6,190,15,Atlanta Falcons,2022
6,191,15,Baltimore Ravens,2022
6,192,15,Minnesota Vikings,2022
7,193,14,Cleveland Browns,2022
7,194,14,Philadelphia Eagles,2022
7,195,13,Los Angeles Chargers,2022
7,196,13,Baltimore Ravens,2022
7,197,13,Jacksonville Jaguars,2022
7,198,12,Jacksonville Jaguars,2022
7,199,12,Carolina Panthers,2022
7,200,11,New England Patriots,2022
7,201,11,Arizona Cardinals,2022
7,202,11,Dallas Cowboys,2022
7,203,10,Buffalo Bills,2022
7,204,10,Tennessee Titans,2022
7,205,9,Green Bay Packers,2022
7,206,9,Philadelphia Eagles,2022
7,207,9,Houston Texans,2022
7,208,8,Kansas City Chiefs,2022
7,209,8,Cincinnati Bengals,2022
7,210,7,New England Patriots,2022
7,211,7,Los Angeles Rams,2022
7,212,7,Los Angeles Rams,2022
7,213,6,Atlanta Falcons,2022
7,214,6,Los Angeles Chargers,2022
7,215,5,Arizona Cardinals,2022
7,216,5,Indianapolis Colts,2022
7,217,5,Detroit Lions,2022
7,218,4,Los Angeles Rams,2022
7,219,4,Tennessee Titans,2022
7,220,3,San Francisco 49ers,2022
7,221,3,San Francisco 49ers,2022
7,222,3,Jacksonville Jaguars,2022
7,223,2,Cleveland Browns,2022
7,224,2,New York Giants,2022
